test_loss:0.5217473780115446    test_acc88.81491344873503
test_loss:0.5350090066591898    test_acc87.74966711051931
test_loss:0.5496675868829092    test_acc87.35019973368841
test_loss:0.5257771598796049    test_acc87.88282290279628
test_loss:0.519652746617794    test_acc88.41544607190413
test_loss:0.5359611958265305    test_acc88.01597869507323
test_loss:0.5468736911813418    test_acc87.48335552596538
test_loss:0.5298242618640264    test_acc87.74966711051931
test_loss:0.5461649373173714    test_acc87.08388814913448
test_loss:0.5067000339428583    test_acc88.5486018641811
test_loss:0.539440706372261    test_acc88.1491344873502
test_loss:0.5480003952980042    test_acc87.48335552596538
test_loss:0.5643318792184194    test_acc87.08388814913448
test_loss:0.5184803754091263    test_acc87.61651131824235
test_loss:0.5360609019796053    test_acc87.61651131824235
test_loss:0.5520869220296541    test_acc87.35019973368841
test_loss:0.54436161617438    test_acc87.61651131824235
test_loss:0.5412181889017423    test_acc88.5486018641811
test_loss:0.5379330764214197    test_acc88.68175765645806
test_loss:0.5299847895900408    test_acc87.08388814913448
test_loss:0.5136622153222561    test_acc88.81491344873503
test_loss:0.5306080281734467    test_acc88.5486018641811
test_loss:0.5392750563720862    test_acc87.88282290279628
test_loss:0.5142540261149406    test_acc89.61384820239681
test_loss:0.5363397349913915    test_acc88.81491344873503
test_loss:0.5567555005351702    test_acc87.48335552596538
test_loss:0.5081007182598114    test_acc88.68175765645806
test_loss:0.5334271937608719    test_acc88.68175765645806
test_loss:0.5284038856625557    test_acc89.21438082556591
test_loss:0.5252783199151357    test_acc88.81491344873503
test_loss:0.5275322546561559    test_acc88.94806924101198
test_loss:0.5280144785841306    test_acc88.41544607190413
test_loss:0.5510539735356966    test_acc87.61651131824235
test_loss:0.5137113605936369    test_acc88.68175765645806
